,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
84437,20190708X83300,Accident,GAA19CA394,2019-07-04,"Casper, WY",United States,Substantial,Airplane,Merit Aviation Llc,CCX-2000,1.0,Reciprocating,Personal,
84440,20190706X03014,Accident,CEN19FA210,2019-07-05,"Chebanse, IL",United States,Substantial,Airplane,Beech,A36,1.0,Reciprocating,Personal,
84442,20190708X22643,Accident,GAA19CA388,2019-07-05,"Talkeetna, AK",United States,Substantial,Airplane,Piper,PA18,1.0,Reciprocating,Personal,
84451,20190707X01535,Accident,ERA19TA223,2019-07-07,"Okeechobee, FL",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
84452,20190708X21221,Accident,GAA19CA387,2019-07-07,"Seldovia, AK",United States,Substantial,Airplane,Piper,PA32,1.0,Reciprocating,Personal,
84455,20190708X12801,Accident,ANC19LA031,2019-07-08,"Bethel, AK",United States,Destroyed,Airplane,Cessna,208,1.0,Turbo Prop,,
84457,20190708X75633,Accident,CEN19LA216,2019-07-08,"Kaneville, IL",United States,Substantial,Airplane,Rutan,VARIEZE,1.0,Reciprocating,Personal,
84458,20190709X25154,Accident,ANC19LA032,2019-07-08,"Newport, OR",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84461,20190709X93826,Accident,ERA19LA221,2019-07-09,"MONROE, GA",United States,Substantial,Airplane,Hi-Max,HI-MAX,,Reciprocating,Personal,
84463,20190723X70630,Accident,WPR19LA207,2019-07-09,"Klamath Falls, OR",United States,Substantial,Airplane,Stinson,108,1.0,Reciprocating,Personal,
84467,20190711X21021,Accident,GAA19CA398,2019-07-10,"Petersburg, VA",United States,Substantial,Airplane,Cessna,R182,1.0,Reciprocating,Personal,
84469,20190717X91032,Accident,GAA19CA430,2019-07-10,"Wasilla, AK",United States,Substantial,Airplane,Piper,PA28,1.0,Reciprocating,Personal,
84473,20190711X23056,Accident,ANC19FA033,2019-07-11,"Ketchikan, AK",United States,Substantial,Airplane,Piper,PA 24-180,1.0,Reciprocating,Personal,
84474,20190711X41957,Accident,GAA19CA402,2019-07-11,"Talkeetna, AK",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
84476,20190711X63231,Accident,GAA19CA406,2019-07-11,"Lincoln, MO",United States,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,
84477,20190711X74140,Accident,GAA19CA401,2019-07-11,"Vineyard Haven, MA",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84482,20190712X24035,Accident,CEN19LA220,2019-07-12,"Wheeling, IL",United States,Substantial,Airplane,Icon,A-5,1.0,Reciprocating,Personal,
84483,20190712X54743,Accident,GAA19CA408,2019-07-12,"Hamilton, MT",United States,Substantial,Airplane,Piper,PA 20,1.0,Reciprocating,Personal,
84484,20190713X90722,Accident,GAA19CA467,2019-07-12,"Orlando, FL",United States,Substantial,Airplane,Cessna,525,2.0,Turbo Fan,Personal,
84487,20190713X01105,Accident,ERA19FA225,2019-07-13,"Oliver Springs, TN",United States,Substantial,Airplane,Quicksilver,MXII,1.0,Reciprocating,Personal,
84488,20190713X34059,Accident,CEN19FA221,2019-07-13,"Katy, TX",United States,Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84490,20190713X65021,Accident,ERA19LA226,2019-07-13,"Summit, SC",United States,Substantial,Airplane,Cessna,120,1.0,,Personal,
84491,20190713X95619,Accident,ERA19LA224,2019-07-13,"Carlisle, PA",United States,Substantial,Airplane,Zenith,CH601,1.0,Reciprocating,Personal,
84493,20190715X00050,Accident,CEN19LA222,2019-07-13,"Clinton, AR",United States,Substantial,Airplane,Stinson,108,1.0,Reciprocating,Personal,
84497,20190714X02348,Accident,ERA19LA227,2019-07-14,"Hastings, FL",United States,Substantial,Airplane,Piper,PA22,1.0,Reciprocating,Personal,
84499,20190715X04337,Accident,CEN19LA223,2019-07-14,"Elkhart, IN",United States,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,
84500,20190715X05519,Accident,CEN19LA224,2019-07-14,"Osceola, WI",United States,Substantial,Airplane,Piper,PA18,1.0,Reciprocating,Personal,
84502,20190715X31535,Accident,WPR19LA190,2019-07-14,"Cascade, ID",United States,Substantial,Airplane,Cessna,P206,1.0,Reciprocating,Personal,
84505,20190715X33753,Accident,GAA19CA411,2019-07-15,"San Diego, CA",United States,Substantial,Airplane,Piper,J3C,1.0,Reciprocating,Personal,
84506,20190715X52759,Accident,GAA19CA416,2019-07-15,"York, SC",United States,Substantial,Airplane,Thomas Wild,AVID,1.0,Reciprocating,Personal,
84508,20190716X24028,Accident,GAA19CA421,2019-07-15,"Lompoc, CA",United States,Substantial,Airplane,Willie Bennett,Glastar,,Reciprocating,Personal,
84510,20190720X74743,Accident,WPR19LA195,2019-07-15,"Hurricane, UT",United States,Substantial,Airplane,Cessna,T210,1.0,Reciprocating,Personal,
84512,20190807X92142,Accident,GAA19CA487,2019-07-15,"Bison, SD",United States,Substantial,Airplane,Cessna,170,1.0,Reciprocating,Personal,
84515,20190716X43124,Accident,GAA19CA424,2019-07-16,"Grand Canyon, AZ",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84516,20190716X55113,Accident,ERA19LA228,2019-07-16,"Gainesboro, TN",United States,Substantial,Airplane,Pietenpol,BIG PIET,1.0,Reciprocating,Personal,
84517,20190716X73305,Accident,WPR19LA189,2019-07-16,"Aumsville, OR",United States,Destroyed,Airplane,Vans,RV14,,,Personal,
84518,20190716X74232,Accident,GAA19CA425,2019-07-16,"Brownville, ME",United States,Substantial,Airplane,Aeros Ltd,SKYRANGER,1.0,Reciprocating,Personal,
84519,20190716X81806,Accident,ERA19LA229,2019-07-16,"Crescent, FL",United States,Substantial,Airplane,Progressive Aerodyne,SEAREY,1.0,Reciprocating,Personal,
84523,20190720X65807,Accident,CEN19LA226,2019-07-16,"Detroit Lakes, MN",United States,Substantial,Airplane,Cashen,Super Acro Sport,1.0,Reciprocating,Personal,
84524,20190718X15123,Accident,GAA19CA432,2019-07-17,"Ennis, MT",United States,Destroyed,Airplane,Aviat,A1,1.0,Reciprocating,,
84526,20190718X95411,Accident,ANC19LA036,2019-07-17,"Chattanooga, TN",United States,Substantial,Airplane,Stoddard Hamilton,GLASAIR II,1.0,Reciprocating,Personal,
84528,20190904X11028,Accident,ANC19LA049,2019-07-17,"Talkeetna, AK",United States,Substantial,Airplane,Cessna,A185,,Reciprocating,,
84533,20190719X33831,Accident,WPR19LA192,2019-07-19,"Draper, UT",United States,Substantial,Airplane,Judd,Challenger II,,Reciprocating,Personal,
84534,20190719X40133,Accident,ERA19LA232,2019-07-19,"Ocean City, MD",United States,Substantial,Airplane,Vans,RV7,1.0,Reciprocating,Personal,
84535,20190719X40236,Accident,ERA19TA233,2019-07-19,"Sanford, FL",United States,Substantial,Airplane,Beech,95B55,,Reciprocating,Personal,
84537,20190719X55851,Accident,ERA19LA231,2019-07-19,"Poughkeepsie, NY",United States,Substantial,Airplane,Piper,PA46,1.0,Reciprocating,Personal,
84539,20190720X75839,Accident,GAA19CA450,2019-07-19,"Cove, OR",United States,Substantial,Airplane,Rockwell,112A,1.0,Reciprocating,Personal,
84540,20190721X02950,Accident,ANC19FA035,2019-07-19,"Seldovia, AK",United States,Substantial,Airplane,De Havilland,BEAVER DHC 2,1.0,Reciprocating,,
84541,20190721X34740,Accident,WPR19LA196,2019-07-19,"The Dalles, OR",United States,Destroyed,Airplane,Cessna,210 5(205),,Reciprocating,Personal,
84542,20190722X34241,Accident,GAA19CA445,2019-07-19,"Phoenix, AZ",United States,Substantial,Airplane,Cessna,170,1.0,Reciprocating,Personal,
84543,20190720X61321,Accident,CEN19CA227,2019-07-20,"Oshkosh, WI",United States,Substantial,Airplane,Vans,RV-8,1.0,Reciprocating,Personal,
84544,20190720X64224,Accident,GAA19CA443,2019-07-20,"Jefferson City, MO",United States,Substantial,Airplane,Valldejuli John A,AEROCOMP,1.0,Reciprocating,Personal,
84545,20190720X80210,Accident,WPR19CA197,2019-07-20,"Yellow Pine, ID",United States,Substantial,Airplane,Avid,AVID MAGNUM,1.0,Reciprocating,Personal,
84546,20190721X45616,Accident,CEN19FA235,2019-07-20,"Kilgore, TX",United States,Substantial,Airplane,Cessna,175,,,Personal,
84547,20190723X50222,Accident,WPR19LA200,2019-07-20,"Battleground, WA",United States,Substantial,Airplane,Beech,33,1.0,,Personal,
