,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
74605,20131021X12554,Accident,WPR14LA023,2013-10-21,"Hardin, MT",United States,Substantial,Airplane,Cessna,172 - M,1.0,Reciprocating,Personal,
74606,20131022X14138,Accident,CEN14FA014,2013-10-21,"Huntsville, AR",United States,Destroyed,Airplane,Piper,PA 32R-301,1.0,Reciprocating,Personal,
74608,20131024X12145,Accident,WPR14CA028,2013-10-21,"Butte, MT",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
74609,20131024X65945,Accident,CEN14FA019,2013-10-21,"Talihina, OK",United States,Destroyed,Airplane,Piper,PA 28-140,1.0,Reciprocating,Personal,
74614,20131022X24004,Accident,WPR14FA024,2013-10-22,"Wailea, HI",United States,Substantial,Airplane,Cessna,208,1.0,Turbo Prop,,
74616,20131023X11515,Accident,ERA14CA016,2013-10-22,"Lumberton, NJ",United States,Substantial,Airplane,Denisar Richard A,LANCAIR 320,1.0,Reciprocating,Personal,
74617,20131024X04424,Accident,WPR14CA033,2013-10-22,"Watsonville, CA",United States,Substantial,Airplane,Tecnam,P92,1.0,Reciprocating,Personal,
74618,20131022X75043,Accident,WPR14CA026,2013-10-23,"Lodi, CA",United States,Substantial,Airplane,Cessna,T210 - H,,Reciprocating,Personal,
74619,20131023X22139,Accident,WPR14LA027,2013-10-23,"Tucson, AZ",United States,Substantial,Airplane,Piper,PA-23-150,2.0,Reciprocating,Personal,
74621,20131023X24855,Accident,DCA14FA002,2013-10-23,"Homer, AK",United States,Substantial,Airplane,Beech,1900C,2.0,Turbo Prop,,
74622,20131023X30531,Accident,ERA14CA017,2013-10-23,"Burnsville, NC",United States,Substantial,Airplane,Beech,A36,,Reciprocating,Personal,
74624,20131024X85621,Accident,CEN14LA015,2013-10-23,"Galveston, TX",United States,Substantial,Airplane,North American,P 51D,,Reciprocating,Personal,
74628,20131024X65216,Accident,WPR14LA031,2013-10-24,"Big Creek, CA",United States,Substantial,Airplane,Piper,PA 28-180,1.0,Reciprocating,Personal,
74629,20131028X72837,Accident,CEN14CA025,2013-10-24,"El Paso, TX",United States,Substantial,Airplane,Aviat Aircraft Inc,A 1B,1.0,Reciprocating,Personal,
74633,20131029X91829,Accident,CEN14CA027,2013-10-25,"Raymondville, TX",United States,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,
74634,20131030X13855,Accident,CEN14LA031,2013-10-25,"Borger, TX",United States,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Personal,
74635,20131026X11142,Accident,WPR14CA035,2013-10-26,"Twin Falls, ID",United States,Substantial,Airplane,Piper,PA 18-150,1.0,Reciprocating,Personal,
74636,20131028X05039,Accident,ERA14CA025,2013-10-26,"Tylertown, MS",United States,Substantial,Airplane,Mooney Airplane Co Inc,M20TN,1.0,Reciprocating,Personal,
74638,20131030X54733,Accident,ERA14CA032,2013-10-26,"Palm Coast, FL",United States,Substantial,Airplane,Beech,V35B,,Reciprocating,Personal,
74640,20140116X15627,Accident,ERA14LA094,2013-10-26,"Livingston, AL",United States,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,
74641,20131027X00655,Accident,WPR14LA036,2013-10-27,"Scipio, UT",United States,Substantial,Airplane,Cessna,T210M,1.0,Reciprocating,Personal,
74642,20131028X55737,Accident,CEN14FA024,2013-10-27,"Boerne, TX",United States,Destroyed,Airplane,Bellanca,14-19-3A,1.0,Reciprocating,Personal,
74643,20131028X75939,Accident,ERA14CA023,2013-10-27,"Wauchula, FL",United States,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,
74644,20131028X85704,Accident,ERA14LA024,2013-10-27,"Everglades City, FL",United States,Substantial,Airplane,Piper,PA 28R-201T,1.0,Reciprocating,Personal,
74645,20131028X85148,Accident,WPR14FA037,2013-10-28,"McMinnville, OR",United States,Substantial,Airplane,Musick,LANCAIR 235,1.0,Reciprocating,Personal,
74646,20131029X54558,Accident,CEN14LA028,2013-10-28,"Princeton, MN",United States,Destroyed,Airplane,Piper,PA 22-150,1.0,Reciprocating,Personal,
74648,20131029X13001,Accident,ERA14FA027,2013-10-29,"Nashville, TN",United States,Destroyed,Airplane,Cessna,172R,1.0,Reciprocating,Personal,
74650,20131031X73518,Accident,ERA14CA033,2013-10-29,"Manassas, VA",United States,Substantial,Airplane,Stinson,SR 5A,1.0,Reciprocating,Personal,
74654,20131101X13814,Accident,CEN14LA033,2013-10-31,"Wellington, KS",United States,Substantial,Airplane,Clevenger Jimmie B,PITTS S 1S,,Reciprocating,Personal,
74655,20131120X22428,Accident,CEN14LA065,2013-10-31,"Lubbock, TX",United States,Substantial,Airplane,Aero Commander,500 - B,2.0,Reciprocating,,
74656,20131101X04142,Accident,CEN14FA035,2013-11-01,"Springdale, AR",United States,Destroyed,Airplane,Beech,C90,2.0,Turbo Prop,Personal,
74658,20131101X95036,Accident,CEN14FA034,2013-11-01,"Caledonia, MN",United States,Substantial,Airplane,Piper,PA 23-250,2.0,Reciprocating,Personal,
74659,20131102X05355,Accident,WPR14CA039,2013-11-01,"Upland, CA",United States,Substantial,Airplane,Yuneec,YUNEEC,1.0,Electric,Business,
74660,20131102X10710,Accident,WPR14LA040,2013-11-01,"Reno, NV",United States,Substantial,Airplane,Mikoyan Gurevich,MIG 21 UM,1.0,Turbo Jet,Personal,
74661,20131104X63424,Accident,ERA14LA034,2013-11-01,"De Leon Springs, FL",United States,Substantial,Airplane,Teal Harry H,SONERAI II STRETCH,1.0,Reciprocating,Personal,
74663,20131105X11632,Accident,CEN14CA040,2013-11-01,"Braggadocio, MO",United States,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,
74667,20131108X20607,Accident,WPR14LA046,2013-11-02,"Wickenburg, AZ",United States,Substantial,Airplane,Rovey Jason H,RV-8,1.0,Reciprocating,Personal,
74670,20131104X02628,Accident,CEN14CA037,2013-11-03,"Hayden, CO",United States,Substantial,Airplane,Raytheon Aircraft Company,A36,1.0,Reciprocating,Personal,
74672,20131104X20938,Accident,WPR14LA042,2013-11-03,"St. Johns, AZ",United States,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,
74673,20131104X21857,Accident,WPR14CA043,2013-11-03,"Avalon, CA",United States,Substantial,Airplane,Grumman American Avn. Corp.,AA 5B,1.0,Reciprocating,Personal,
74674,20131108X94406,Accident,ERA14CA039,2013-11-04,"Fallston, MD",United States,Substantial,Airplane,Taylorcraft,BC 65,1.0,Reciprocating,Personal,
74677,20131106X60949,Accident,WPR14FA044,2013-11-06,"Donnelly, ID",United States,Destroyed,Airplane,Cessna,U206F,1.0,Reciprocating,,
74680,20131112X23900,Accident,CEN14CA049,2013-11-07,"Fort Collins, CO",United States,Substantial,Airplane,Mooney,M20R,1.0,Reciprocating,Personal,
74681,20131114X13203,Accident,WPR14LA050,2013-11-07,"Carefree, AZ",United States,Substantial,Airplane,Piper,PA 46 350P,1.0,Unknown,Personal,
74683,20131109X05102,Accident,WPR14CA047,2013-11-09,"LaGrange, WY",United States,Substantial,Airplane,Aviat Aircraft Inc,A 1B,1.0,Reciprocating,Personal,
74687,20131110X03324,Accident,CEN14FA046,2013-11-10,"Owasso, OK",United States,Destroyed,Airplane,Mitsubishi,MU 2B-25,2.0,Turbo Prop,Personal,
74693,20131111X10005,Accident,CEN14FA047,2013-11-11,"Amarillo, TX",United States,Destroyed,Airplane,Beech,B36TC,1.0,Reciprocating,Personal,
74695,20131113X45612,Accident,WPR14CA048,2013-11-11,"San Ynez, CA",United States,Substantial,Airplane,Maule,MX 7-235,,Reciprocating,Personal,
74698,20131112X30325,Accident,CEN14FA051,2013-11-12,"Junction, TX",United States,Destroyed,Airplane,Cessna,T310R,2.0,Reciprocating,Personal,
74699,20131115X15020,Accident,ANC14CA005,2013-11-12,"Juneau, AK",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
74700,20131121X04919,Accident,CEN14LA066,2013-11-12,"Winsted, MN",United States,Substantial,Airplane,Quad City,CHALLENGER I,1.0,Reciprocating,Personal,
74702,20131115X22026,Accident,CEN14LA054,2013-11-14,"Erie, CO",United States,Substantial,Airplane,Quicksilver,MXII SPORT,1.0,Reciprocating,Personal,
74703,20131118X25612,Accident,ERA14LA043,2013-11-15,"Marshfield, MA",United States,Destroyed,Airplane,Maule,M-5-180C,1.0,Reciprocating,Personal,
74705,20131119X91258,Accident,CEN14CA061,2013-11-15,"Cypress, TX",United States,Substantial,Airplane,Aviat Aircraft Inc,A 1B,1.0,Reciprocating,Personal,
74707,20131118X10427,Accident,CEN14LA058,2013-11-16,"San Antonio, TX",United States,Substantial,Airplane,Piper,PA 28-140,1.0,Reciprocating,Personal,
74714,20131117X90100,Accident,WPR14LA055,2013-11-17,"Lakeside, OR",United States,Substantial,Airplane,Richard S Duncan,AVID FLYER,1.0,Reciprocating,Personal,
74715,20131119X94624,Accident,ERA14FA044,2013-11-17,"Kenansville, NC",United States,Destroyed,Airplane,Focke-Wulf,FWP 149D,1.0,Reciprocating,Personal,
74716,20131121X72932,Accident,WPR14LA056,2013-11-17,"Oceanside, CA",United States,Substantial,Airplane,Cessna,T210 - F,1.0,Reciprocating,Personal,
74722,20131120X00220,Accident,CEN14FA064,2013-11-20,"Cedaredge, CO",United States,Destroyed,Airplane,Cessna,T210,1.0,Reciprocating,Personal,
74726,20131126X92315,Accident,ANC14LA007,2013-11-22,"Deadhorse, AK",United States,Substantial,Airplane,Beech,1900C,2.0,Turbo Prop,,
74727,20131125X53917,Accident,WPR14CA057,2013-11-23,"Salt Lake City, UT",United States,Substantial,Airplane,New Piper,PA46 350P,1.0,Reciprocating,Personal,
74728,20131203X45803,Accident,ANC14CA009,2013-11-23,"Nenana, AK",United States,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Personal,
74729,20131125X22043,Accident,CEN14CA070,2013-11-24,"New Orleans, LA",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
74730,20131216X31320,Accident,ERA14LA071,2013-11-24,"Monroe, NC",United States,Substantial,Airplane,Piper,PA-46-500TP,1.0,Turbo Prop,Personal,
74732,20131125X61522,Accident,ERA14LA048,2013-11-25,"Hopewell, AL",United States,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,
74733,20131125X94952,Accident,ERA14FA049,2013-11-25,"Graniteville, SC",United States,Substantial,Airplane,Piper,PA-23-160,2.0,Reciprocating,Personal,
74734,20131220X70905,Accident,ANC14CA012,2013-11-25,"Nuiqsut, AK",United States,Substantial,Airplane,Mcdonnell Douglas Aircraft Co,DC-6,4.0,Reciprocating,,
74735,20140106X40632,Accident,DCA14CA031,2013-11-25,"Philadelphia, PA",United States,Substantial,Airplane,De Havilland,DHC8 - 102,2.0,Turbo Prop,,
74737,20131127X32639,Accident,WPR14CA058,2013-11-26,"Kalispell, MT",United States,Substantial,Airplane,Quad City Ultralight Acft Corp,CHALLENGER II,1.0,Reciprocating,Personal,
74738,20131202X13540,Accident,CEN14FA072,2013-11-27,"Boulder, CO",United States,Destroyed,Airplane,Biesemeier David I,SMYTH SIDEWINDER,1.0,Reciprocating,Personal,
74739,20131205X25249,Accident,CEN14LA076,2013-11-27,"Lake Providence, LA",United States,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Personal,
74740,20131128X10038,Accident,ERA14LA051,2013-11-28,"Montrose, PA",United States,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,,
74741,20131128X23259,Accident,ERA14LA052,2013-11-28,"Trussville, AL",United States,Substantial,Airplane,Beech,V35,,Reciprocating,Personal,
74745,20131202X10544,Accident,WPR14LA059,2013-11-29,"Florence, OR",United States,Substantial,Airplane,Cessna,210,1.0,Reciprocating,Personal,
74747,20131130X23954,Accident,ANC14MA008,2013-11-30,"Saint Marys, AK",United States,Substantial,Airplane,Cessna,208B,1.0,Turbo Prop,,
74748,20131130X60054,Accident,ERA14LA057,2013-11-30,"Elkmont, AL",United States,Destroyed,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,
74750,20131205X52719,Accident,ERA14CA065,2013-11-30,"Portland, ME",United States,Substantial,Airplane,Cessna,150D,1.0,Reciprocating,Personal,
74751,20131203X82831,Accident,CEN14LA074,2013-12-01,"Rock Lake, ND",United States,Substantial,Airplane,Piper,PA 28-181,1.0,Reciprocating,Personal,
74752,20131216X13812,Accident,WPR14FA094,2013-12-01,"Yellow Pine, ID",United States,Destroyed,Airplane,Beech,B36TC,1.0,Reciprocating,Personal,
74754,20140109X02143,Accident,WPR14CA092,2013-12-01,"Richland, WA",United States,Substantial,Airplane,Cessna,177RG,1.0,Reciprocating,Personal,
74755,20131202X34203,Accident,ERA14LA059,2013-12-02,"Trenton, SC",United States,Substantial,Airplane,Moffitt Oscar/ Kit Prostar A/C,PT2,1.0,Reciprocating,Personal,
74756,20131203X32402,Accident,WPR14CA060,2013-12-02,"Placerville, CA",United States,Substantial,Airplane,Beech,G35,1.0,Reciprocating,Personal,
74757,20131204X10556,Accident,CEN14LA075,2013-12-02,"Walton, IN",United States,Substantial,Airplane,Cessna,560,2.0,Turbo Fan,,
74759,20131202X13615,Accident,ERA14FA058,2013-12-03,"Dawsonville, GA",United States,Destroyed,Airplane,Piper,PA-46-310P,1.0,Turbo Prop,Personal,
74760,20131203X84553,Accident,ERA14CA061,2013-12-03,"Crescent City, FL",United States,Substantial,Airplane,Aero Commander,680E,2.0,Reciprocating,Personal,
74761,20131203X94343,Accident,ERA14MA060,2013-12-03,"La Alianza, PR",United States,Destroyed,Airplane,Fairchild,SA227-AC,2.0,Turbo Prop,,
74762,20131204X65412,Accident,ERA14CA062,2013-12-03,"Traveler's Rest, SC",United States,Substantial,Airplane,Anderson Andreas,RANS S-6S,1.0,Reciprocating,Personal,
74763,20131205X60841,Accident,ANC14CA010,2013-12-04,"Soldotna, AK",United States,Substantial,Airplane,Bellanca,7GCBC,,Reciprocating,Personal,
74764,20131209X21933,Accident,CEN14LA079,2013-12-04,"Jeromesville, OH",United States,Substantial,Airplane,Thompson William A,SPARROW II,1.0,Reciprocating,Personal,
74768,20131206X54402,Accident,WPR14LA061,2013-12-05,"Fair Oaks, CA",United States,Substantial,Airplane,Piper,PA 24-250,1.0,Reciprocating,Personal,
74773,20131209X83249,Accident,CEN14CA078,2013-12-07,"Columbia Station, OH",United States,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,
74774,20131210X02431,Accident,CEN14LA080,2013-12-07,"Albuquerque, NM",United States,Substantial,Airplane,Piper Aircraft Inc,PA46 500TP,1.0,Turbo Prop,Personal,
74776,20131208X45633,Accident,CEN14FA077,2013-12-08,"Los Alamos, NM",United States,Destroyed,Airplane,Aviat Aircraft Inc,A-1C-200,1.0,Reciprocating,Personal,
74777,20131208X92103,Accident,ERA14FA068,2013-12-08,"Jacksonville, FL",United States,Destroyed,Airplane,Cessna,310R,2.0,Reciprocating,Personal,
74780,20131210X02522,Accident,WPR14CA064,2013-12-08,"San Carlos, CA",United States,Substantial,Airplane,Piper,PA 16,1.0,Reciprocating,Personal,
74784,20131210X03812,Accident,WPR14CA067,2013-12-09,"Kalispell, MT",United States,Substantial,Airplane,Beech,58P,2.0,Reciprocating,Personal,
74790,20131211X33313,Accident,WPR14FA068,2013-12-12,"Kalaupapa, HI",United States,Destroyed,Airplane,Cessna,208B,1.0,Turbo Prop,,
74791,20131213X41847,Accident,CEN14FA084,2013-12-12,"Collbran, CO",United States,Substantial,Airplane,Piper,PA 24-250,1.0,Reciprocating,Business,
74794,20131214X14412,Accident,WPR14CA069,2013-12-14,"Henderson, NV",United States,Substantial,Airplane,Cessna,150F,1.0,Reciprocating,Personal,
74796,20131218X65303,Accident,ANC14LA011,2013-12-15,"Bethel, AK",United States,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,,
74798,20131217X85846,Accident,CEN14LA087,2013-12-16,"Leakey, TX",United States,Substantial,Airplane,Maarten H Versteeg,ZENITH 601XL(B),,Reciprocating,Personal,
74801,20131217X25210,Accident,ERA14LA072,2013-12-17,"Burlington, NC",United States,Substantial,Airplane,Cessna,182T,1.0,Reciprocating,Personal,
74804,20131218X83323,Accident,CEN14LA091,2013-12-17,"Palestine, TX",United States,Substantial,Airplane,Quicksilver,UNKNOWN,1.0,Reciprocating,Personal,
74805,20131217X20444,Accident,ERA14FA073,2013-12-18,"Atlanta, GA",United States,Destroyed,Airplane,Raytheon Aircraft Company,390,2.0,Turbo Fan,Personal,
74806,20131218X10522,Accident,ERA14FA074,2013-12-18,"Panama City, FL",United States,Substantial,Airplane,Raytheon,G36,1.0,Reciprocating,Business,
74807,20131218X32603,Accident,ERA14FA075,2013-12-18,"Chatlottesville, VA",United States,Substantial,Airplane,Beech,A36TC,1.0,Reciprocating,Personal,
74808,20131219X65720,Accident,WPR14LA071,2013-12-18,"Los Angeles, CA",United States,Substantial,Airplane,Piper,PA 32-301,1.0,Reciprocating,Personal,
74811,20131220X80310,Accident,ERA14LA076,2013-12-20,"Tampa, FL",United States,Substantial,Airplane,Cessna,210N,1.0,Reciprocating,,
74814,20131223X91718,Accident,CEN14CA092,2013-12-20,"Guymon, OK",United States,Substantial,Airplane,Cessna,210E,1.0,Reciprocating,Personal,
74815,20131223X02611,Accident,WPR14CA073,2013-12-22,"Carson City, NV",United States,Substantial,Airplane,Cessna,A185F,,,Personal,
74817,20131223X20900,Accident,WPR14CA074,2013-12-23,"Fullerton, CA",United States,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,
74819,20131224X73713,Accident,WPR14CA075,2013-12-24,"St. Ignatius, MT",United States,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,
74820,20131226X20136,Accident,ANC14CA013,2013-12-24,"Platinum, AK",United States,Substantial,Airplane,Piper,PA 20,1.0,Reciprocating,Personal,
74821,20131226X25155,Accident,ERA14CA078,2013-12-24,"Miami, FL",United States,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,
74822,20131226X64419,Accident,WPR14CA076,2013-12-24,"Laural, MT",United States,Substantial,Airplane,Aviat Aircraft Inc,A-1C-200,1.0,Reciprocating,Personal,
74823,20131226X72042,Accident,WPR14CA077,2013-12-25,"Hillsboro, OR",United States,Substantial,Airplane,Cessna,T182T,,Reciprocating,Personal,
74824,20131226X82929,Accident,ERA14FA077,2013-12-26,"Biglerville, PA",United States,Destroyed,Airplane,Piper,PA-30,2.0,Reciprocating,Personal,
74825,20131226X23756,Accident,WPR14FA078,2013-12-27,"Fresno, CA",United States,Destroyed,Airplane,Cessna,172K,1.0,Reciprocating,Personal,
74826,20131227X71823,Accident,WPR14LA079,2013-12-27,"Lodi, CA",United States,Substantial,Airplane,Stinson,108 1,1.0,Reciprocating,Personal,
74827,20131231X91015,Accident,ERA14CA082,2013-12-27,"Littleton, NC",United States,Substantial,Airplane,Cessna,182H,1.0,Reciprocating,Personal,
74829,20131230X91706,Accident,CEN14LA094,2013-12-28,"Gladewater, TX",United States,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,
74831,20131230X02650,Accident,WPR14CA082,2013-12-29,"Roberts, MT",United States,Substantial,Airplane,Cubcrafters Inc,CC11-160,1.0,Reciprocating,Personal,
74832,20131230X25135,Accident,CEN14CA095,2013-12-29,"Paradis, LA",United States,Substantial,Airplane,Cessna,182N,1.0,Reciprocating,Personal,
74834,20140102X94028,Accident,CEN14CA096,2013-12-30,"Concordia, KS",United States,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Personal,
74836,20131231X75019,Accident,WPR14CA083,2013-12-31,"Salinas, CA",United States,Substantial,Airplane,Cessna,195A,1.0,Reciprocating,Personal,
74840,20140101X91657,Accident,ERA14LA083,2014-01-01,"Alabaster, AL",United States,Substantial,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,
74841,20140103X02940,Accident,ERA14LA084,2014-01-01,"Fryeburg, ME",United States,,Airplane,Beech,A36,,Unknown,Personal,
74843,20140109X24142,Accident,CEN14LA107,2014-01-03,"Silver City, NM",United States,Substantial,Airplane,Piper,PA 24-250,1.0,Reciprocating,Personal,
74845,20140103X15141,Accident,WPR14CA086,2014-01-04,"Shaw Island, WA",United States,Substantial,Airplane,Dehavilland,BEAVER DHC 2 MK.1,1.0,Reciprocating,Personal,
74846,20140104X70540,Accident,WPR14CA087,2014-01-04,"Avalon, CA",United States,Destroyed,Airplane,Prizio,TEXAS SPRT CUB TX11J,1.0,Reciprocating,Personal,
74847,20140105X41404,Accident,ERA14LA085,2014-01-04,"Bronx, NY",United States,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,
74849,20140105X43412,Accident,ERA14LA086,2014-01-04,"Buckhannon, WV",United States,Substantial,Airplane,Cirrus Design Corp,SR22,1.0,Reciprocating,Personal,
74850,20140106X62933,Accident,WPR14CA088,2014-01-04,"Manzanita, OR",United States,Substantial,Airplane,Clayhold,SPORTSMAN GS-2,1.0,Reciprocating,Personal,
74852,20140108X83046,Accident,ERA14LA089,2014-01-04,"Canton, GA",United States,Substantial,Airplane,Fk Lightplanes,FK9 ELA SW,1.0,Reciprocating,Personal,
74853,20140109X32656,Accident,DCA14CA034,2014-01-04,"Las Vegas, NV",United States,Substantial,Airplane,Boeing,737,2.0,Turbo Fan,,
74854,20140109X65932,Accident,WPR14CA090,2014-01-04,"Marana, AZ",United States,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,
74855,20140114X71831,Accident,CEN14LA112,2014-01-04,"Forsyth, MO",United States,Substantial,Airplane,Piper,PA-22-108,1.0,Reciprocating,Personal,
74856,20140106X95024,Accident,CEN14FA099,2014-01-05,"Aspen, CO",United States,Destroyed,Airplane,Canadair Ltd,CL 600 2B16,2.0,Turbo Fan,Executive/corporate,
74862,20140106X13945,Accident,CEN14FA102,2014-01-06,"Boyne City, MI",United States,Substantial,Airplane,Mooney,M20R,1.0,Reciprocating,Personal,
74865,20140109X84353,Accident,CEN14CA106,2014-01-08,"Pagosa Springs, CO",United States,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,
74867,20140109X92051,Accident,WPR14FA091,2014-01-09,"Pocatello, ID",United States,Substantial,Airplane,Cirrus Design Corp,SR22,1.0,Reciprocating,Personal,
74868,20140110X14059,Accident,DCA14CA035,2014-01-09,"Nashville, TN",United States,,Airplane,Boeing,737 7H4,2.0,Turbo Fan,,
74871,20140110X15754,Accident,DCA14CA036,2014-01-10,"Atlanta, GA",United States,,Airplane,Boeing,757 232,2.0,Unknown,,
74874,20140112X00653,Accident,WPR14CA095,2014-01-12,"Sacramento, CA",United States,Substantial,Airplane,Hallendorf Tom,RV 6,1.0,Reciprocating,Personal,
74878,20140114X32510,Accident,WPR14LA096,2014-01-14,"Pismo Beach, CA",United States,Destroyed,Airplane,Morrisey,2150,1.0,Reciprocating,Personal,
74881,20140115X22709,Accident,ERA14FA093,2014-01-15,"Holland, NJ",United States,Substantial,Airplane,American Champion Aircraft,8KCAB,1.0,Reciprocating,Personal,
74882,20140116X55434,Accident,CEN14CA114,2014-01-15,"Coldwater, MI",United States,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Personal,
74888,20140118X22741,Accident,WPR14LA099,2014-01-18,"San Jose, CA",United States,Substantial,Airplane,Piper,PA 24-250,1.0,Reciprocating,Personal,
74890,20140124X03838,Accident,ERA14LA103,2014-01-18,"Zephyrhills, FL",United States,Substantial,Airplane,Piper,PA-12,1.0,Reciprocating,Personal,
74891,20140120X71559,Accident,ERA14CA097,2014-01-19,"Winchester, VA",United States,Substantial,Airplane,Cessna,195B,1.0,Reciprocating,Personal,
74894,20140121X02546,Accident,WPR14LA100,2014-01-20,"Poulsbo, WA",United States,Substantial,Airplane,Ercoupe,415 C,1.0,Reciprocating,Personal,
74898,20140122X64032,Accident,CEN14LA118,2014-01-21,"Willow Park, TX",United States,Substantial,Airplane,Grumman American Avn. Corp.,AA 5B,1.0,Reciprocating,Personal,
74901,20140123X30007,Accident,CEN14CA119,2014-01-23,"Tulsa, OK",United States,Substantial,Airplane,Piper,PA46 500TP,1.0,Turbo Prop,Personal,
74902,20140124X91020,Accident,CEN14LA120,2014-01-23,"Ashland, MO",United States,Substantial,Airplane,Cessna,414A,2.0,Reciprocating,Business,
74905,20140127X02241,Accident,WPR14CA103,2014-01-25,"Renton, WA",United States,Substantial,Airplane,Waco Classic Aircraft,YMF F5C,1.0,Reciprocating,Personal,
74906,20140127X04939,Accident,CEN14CA123,2014-01-25,"Boulder, CO",United States,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,
74910,20140126X01435,Accident,ERA14LA105,2014-01-26,"Millen, GA",United States,Substantial,Airplane,Piper,PA-32RT-300,1.0,Reciprocating,Personal,
74911,20140126X80539,Accident,ERA14CA104,2014-01-26,"Rutherfordton, NC",United States,Substantial,Airplane,Mooney,M20C,1.0,Reciprocating,Personal,
74912,20140129X53958,Accident,WPR14CA107,2014-01-26,"Wikieup, AZ",United States,Destroyed,Airplane,Cessna,170,1.0,Reciprocating,Personal,
74913,20140130X75717,Accident,WPR14CA109,2014-01-26,"Willcox, AZ",United States,Substantial,Airplane,Piper,PA 18-150,1.0,Reciprocating,Personal,
74916,20140211X43717,Accident,WPR14LA114,2014-01-26,"Roseburg, OR",United States,Substantial,Airplane,Pitts,S2C,1.0,Reciprocating,Personal,
74917,20140211X75848,Accident,CEN14LA134,2014-01-26,"Milan, IL",United States,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Personal,
74920,20140128X51154,Accident,DCA14CA043,2014-01-27,"Point Loma, CA",United States,Destroyed,Airplane,General Atomics,MQ-9,1.0,Turbo Prop,Public Aircraft - Federal,
74922,20140206X24333,Accident,WPR14LA112,2014-01-27,"Stanwood, WA",United States,Substantial,Airplane,Weinzierl,SEAREY,1.0,Reciprocating,Personal,
74923,20140128X90012,Accident,WPR14LA105,2014-01-28,"Camarillo, CA",United States,Substantial,Airplane,Piper,PA 23-250,2.0,Reciprocating,Personal,
74924,20140129X13813,Accident,CEN14CA125,2014-01-28,"Aurora, CO",United States,Substantial,Airplane,Cessna,310I,2.0,Reciprocating,Personal,
74925,20140129X53458,Accident,ERA14LA107,2014-01-28,"West Palm Beach, FL",United States,Substantial,Airplane,Piper,PA-34-200,2.0,Reciprocating,Personal,
74926,20140130X20427,Accident,CEN14TA126,2014-01-29,"Fort Carson, CO",United States,Substantial,Airplane,Diamond Aircraft Ind Inc,DA20-C1,1.0,Reciprocating,Public Aircraft - Federal,
74929,20140203X35035,Accident,CEN14LA127,2014-01-31,"Springfield, IL",United States,Substantial,Airplane,Piaggio,P180 - AVANTI II,2.0,Turbo Prop,Business,
74930,20140203X35450,Accident,DCA14CA051,2014-01-31,"Atlanta, GA",United States,Substantial,Airplane,Mcdonnell Douglas Aircraft Co,MD 88,2.0,Turbo Fan,,
74931,20140211X41001,Accident,CEN14GA135,2014-01-31,"Oden, AR",United States,Substantial,Airplane,Cessna,210E,1.0,Reciprocating,Public Aircraft - State,
74933,20140201X21859,Accident,WPR14CA110,2014-02-01,"Globe, AZ",United States,Substantial,Airplane,Beech,V35A,1.0,Reciprocating,Personal,
74935,20140203X00647,Accident,ERA14FA112,2014-02-03,"Bellevue, TN",United States,Destroyed,Airplane,Gulfstream Am Corp Comm Div,690,2.0,Turbo Prop,Personal,
74936,20140203X03851,Accident,ERA14LA111,2014-02-03,"Ft. Lauderdale, FL",United States,,Airplane,Gates Learjet Corp.,35A,1.0,Turbo Fan,,
74937,20140204X31059,Accident,CEN14CA130,2014-02-03,"Worthington, MN",United States,Substantial,Airplane,Taylorcraft,BC12 D,,Reciprocating,Personal,
